date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:58	8871/8871	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2012:09:44%20GMT	https://herfybd.com/assets/js/bt_elements.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/bt_elements.js	(from https://herfybd.com/)
22:19:58	1546/1546	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2012:09:44%20GMT	https://herfybd.com/assets/js/gtm4wp-form-move-tracker.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/gtm4wp-form-move-tracker.js	(from https://herfybd.com/)
22:19:59	14623/14623	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2012:09:46%20GMT	https://herfybd.com/assets/js/modernizr.custom.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/modernizr.custom.js	(from https://herfybd.com/)
22:20:00	58870/58870	---M--	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2010:36:44%20GMT	https://herfybd.com/assets/js/jquery.elevatezoom.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery.elevatezoom.js	(from https://herfybd.com/)
22:20:00	8560/8560	---M--	200	added ('OK')	application/javascript	date:Fri,%2018%20May%202018%2013:09:46%20GMT	https://herfybd.com/assets/js/jquery.viewbox.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery.viewbox.js	(from https://herfybd.com/)
22:20:01	253668/253668	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Dec%202018%2008:16:20%20GMT	https://herfybd.com/assets/js/jquery-ui.min.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery-ui.min.js	(from https://herfybd.com/)
22:20:01	19267/19267	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Oct%202018%2012:09:42%20GMT	https://herfybd.com/assets/image/logo-classic.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/logo-classic.png	(from https://herfybd.com/)
22:20:01	57384/57384	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20May%202019%2010:12:18%20GMT	https://herfybd.com/assets/js/jquery.flexslider.js	C:/My%20Web%20Sites/naya/herfybd.com/assets/js/jquery.flexslider.js	(from https://herfybd.com/)
22:20:02	19267/19267	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Oct%202018%2012:09:42%20GMT	https://herfybd.com/assets/image/logo.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/logo.png	(from https://herfybd.com/)
22:20:03	229178/229178	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:02%20GMT	https://herfybd.com/home.ashx	C:/My%20Web%20Sites/naya/herfybd.com/home.html	(from https://herfybd.com/)
